file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI$Anonymous3,anonymous,1,1,0,1,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,8,0,4,7,8,7,1,0,0,0,15,-1,0
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI,class,2,7,5,2,13,5,0,22,0,0.56000006,0.33333334,0.33333334,5,0,3,2,0,0,3,0,0,0,5,0,0,5,0,0,0,0,4,95,3,2,2,1,0,7,16,12,8,12,3,3,0,0,83,1,0
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/GameUI.java,com.udacity.GameUI$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/test/java/com/udacity/GameTest.java,com.udacity.GameTest,class,4,4,0,4,24,1,0,3,0,0.0,1.0,1.0,24,0,24,0,0,0,24,0,0,0,1,0,0,1,0,0,0,0,0,98,0,0,0,0,0,46,0,24,0,24,0,0,0,0,29,1,0
/Users/palesnow/Downloads/ood1/ud282-master/Project 1 - TicTacToe/src/main/java/com/udacity/Game.java,com.udacity.Game,class,3,6,3,3,25,1,0,6,0,0.6222223,0.6111111,0.7777778,9,1,9,0,0,0,9,0,0,0,5,1,0,5,0,0,0,0,3,78,11,3,4,0,2,2,18,17,2,12,2,0,0,0,117,1,0
