file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,class,4,7,3,4,6,1,0,9,0,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,17,2,0,11,0,6,17,0,4,55,1,0,4,0,0,5,0,20,1,18,1,1,0,0,61,1,0
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace,class,4,6,2,4,16,1,0,27,10,0.0,0.0,0.0,5,4,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,87,6,2,5,1,0,2,0,9,1,9,4,0,3,0,56,17,0
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest,class,8,9,1,8,9,1,0,29,0,0.5625,1.0,1.0,8,0,6,2,0,0,6,0,0,0,2,0,0,2,0,0,0,0,7,196,1,1,0,0,0,88,39,89,0,85,1,0,1,0,71,1,0
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace$StackElement,innerclass,0,0,0,0,1,1,0,0,0,0.2,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,13,0,0,0,0,0,2,0,5,0,5,0,0,0,0,14,24,0
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace$SquashException,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,24,0
/Users/palesnow/Downloads/squash/src/test/java/com/squareup/squash/SquashEntryTest.java,com.squareup.squash.SquashEntryTest$EntryFactory,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,0,6,2,0
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashBacktrace.java,com.squareup.squash.SquashBacktrace$NestedException,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,4,4,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,11,24,0
