file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/palesnow/Downloads/ood4/sample-project-gradle-master/src/main/java/org/web3j/sample/Application.java,org.web3j.sample.Application,run/0,false,54,7,1,1,0,2,16,22,0,7,0,16,0,0,1,0,0,0,21,0,7,9,1,0,0,0,40,2,11,false
/Users/palesnow/Downloads/ood4/sample-project-gradle-master/src/main/java/org/web3j/sample/Application.java,org.web3j.sample.Application,main/1[java.lang.String[]],false,50,1,3,1,2,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/palesnow/Downloads/ood4/sample-project-gradle-master/src/test/java/org/web3j/sample/GreeterContractIT.java,org.web3j.sample.GreeterContractIT,testGreeterContract/0,false,11,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
